96799,-7.20998,-170.772,Pago Pago,AS,American Samoa
2228,71.0504,42.3523,East Boston,MA,Suffolk
96941,7.1383,151.503,Pohnpei,FM,Federated States Of Micro
96942,7.1383,151.503,Chuuk,FM,Federated States Of Micro
96943,7.1383,151.503,Yap,FM,Federated States Of Micro
96944,7.1383,151.503,Kosrae,FM,Federated States Of Micro
96940,7.22566,134.362,Palau,PW,Palau
96960,11.1405,166.41,Majuro,MH,Marshall Islands
96970,11.1405,166.41,Ebeye,MH,Marshall Islands
96910,13.4443,144.786,Hagatna,GU,Guam
96911,13.4443,144.786,Tamuning,GU,Guam
96912,13.4443,144.786,Dededo,GU,Guam
96913,13.4443,144.786,Barrigada,GU,Guam
96914,13.4443,144.786,Yona,GU,Guam
96916,13.4443,144.786,Merizo,GU,Guam
96917,13.4443,144.786,Inarajan,GU,Guam
96918,13.4443,144.786,Umatac,GU,Guam
96919,13.4443,144.786,Agana Heights,GU,Guam
96922,13.4443,144.786,Asan,GU,Guam
96923,13.4443,144.786,Mangilao,GU,Guam
96925,13.4443,144.786,Piti,GU,Guam
96926,13.4443,144.786,Sinajana,GU,Guam
96927,13.4443,144.786,Mongmong,GU,Guam
96928,13.4443,144.786,Agat,GU,Guam
96929,13.4443,144.786,Yigo,GU,Guam
96930,13.4443,144.786,Talofofo,GU,Guam
96950,15.1901,145.741,Saipan,MP,Northern Mariana Islands
96951,15.1901,145.741,Rota,MP,Northern Mariana Islands
96952,15.1901,145.741,Tinian,MP,Northern Mariana Islands
820,17.7342,-64.7347,Christiansted,VI,Saint Croix
840,17.7342,-64.7347,Frederiksted,VI,Saint Croix
850,17.7342,-64.7347,Kingshill,VI,Saint Croix
714,17.9675,-66.0414,Arroyo,PR,Arroyo
647,17.9696,-66.9398,Ensenada,PR,Guanica
653,17.9725,-66.8987,Guanica,PR,Guanica
757,17.9912,-66.3955,Santa Isabel,PR,Santa Isabel
704,17.9923,-66.1393,Aguirre,PR,Guayama
784,17.9923,-66.1393,Guayama,PR,Guayama
795,17.9974,-66.4932,Juana Diaz,PR,Juana Diaz
622,17.9985,-67.1873,Boqueron,PR,Cabo Rojo
751,17.9985,-66.2648,Salinas,PR,Salinas
716,18.002,-66.6074,Ponce,PR,Ponce
780,18.002,-66.6074,Coto Laurel,PR,Ponce
707,18.007,-65.8987,Maunabo,PR,Maunabo
723,18.01,-66.0106,Patillas,PR,Patillas
715,18.0119,-66.5637,Mercedita,PR,Ponce
667,18.0151,-67.056,Lajas,PR,Lajas
656,18.0233,-66.7869,Guayanilla,PR,Guayanilla
624,18.0235,-66.7262,Penuelas,PR,Penuelas
767,18.0455,-65.887,Yabucoa,PR,Yabucoa
698,18.061,-66.8612,Yauco,PR,Yauco
623,18.0622,-67.1495,Cabo Rojo,PR,Cabo Rojo
637,18.0873,-66.9349,Sabana Grande,PR,Sabana Grande
769,18.096,-66.3508,Coamo,PR,Coamo
736,18.103,-66.1393,Cayey,PR,Cayey
636,18.1133,-67.0397,Rosario,PR,San German
683,18.1133,-67.0397,San German,PR,San German
766,18.1205,-66.4966,Villalba,PR,Villalba
765,18.1233,-65.4604,Vieques,PR,Vieques
705,18.1281,-66.2687,Aibonito,PR,Aibonito
786,18.1281,-66.2687,La Plata,PR,Aibonito
791,18.138,-65.7885,Humacao,PR,Humacao
660,18.1455,-67.1353,Hormigueros,PR,Hormigueros
741,18.1622,-65.7535,Punta Santiago,PR,Humacao
601,18.1653,-66.7226,Adjuntas,PR,Adjuntas
606,18.1729,-66.9441,Maricao,PR,Maricao
739,18.1815,-66.1695,Cidra,PR,Cidra
754,18.1876,-65.9624,San Lorenzo,PR,San Lorenzo
771,18.1966,-65.872,Las Piedras,PR,Las Piedras
794,18.2009,-66.3072,Barranquitas,PR,Barranquitas
744,18.2063,-65.7431,Rio Blanco,PR,Naguabo
777,18.2065,-65.9018,Juncos,PR,Juncos
725,18.213,-66.058,Caguas,PR,Caguas
664,18.2176,-66.5983,Jayuya,PR,Jayuya
680,18.219,-67.5081,Mayaguez,PR,Mayaguez
718,18.2214,-65.7783,Naguabo,PR,Naguabo
782,18.225,-66.2199,Comerio,PR,Comerio
720,18.2269,-66.394,Orocovis,PR,Orocovis
641,18.25,-66.699,Utuado,PR,Utuado
703,18.2504,-66.1285,Aguas Buenas,PR,Aguas Buenas
670,18.2521,-66.991,Las Marias,PR,Las Marias
